id,interviewee,interviewer,diff,ratio,interviewee_name
1,1951,1395,556,1.3985663082437276,Ilmar A.
2,1326,440,886,3.0136363636363637,Nino Barzilai
3,8705,2231,6474,3.901837740923353,Jürgen Bassfreund
4,1819,2219,-400,0.8197386210004507,Rita Benmayor
5,1470,820,650,1.7926829268292683,Tomas Billi
6,2581,1339,1242,1.9275578790141896,Polia Bisenhaus
7,1637,1212,425,1.3506600660066006,Janis B.
8,752,139,613,5.410071942446043,Boguslaw [last name unknown]
9,1027,680,347,1.5102941176470588,[first name unknown] Borgman
10,15577,3395,12182,4.588217967599411,Jacques Bramson
11,5576,2706,2870,2.0606060606060606,Anna Braun
12,1402,1199,203,1.1693077564637198,Arthur Breslauer
13,4757,928,3829,5.126077586206897,Itzhak Brin
14,4802,1539,3263,3.1202079272254712,Eda Button
15,2224,775,1449,2.8696774193548387,Jacob Button
16,868,563,305,1.541740674955595,Boleslaw Czolopicki
17,8603,1119,7484,7.688114387846292,Kalman Eisenberg
18,13676,2279,11397,6.000877577885038,Nechama Epstein-Kozlowski
19,3815,1074,2741,3.5521415270018624,Joseph Ferber
20,1780,1096,684,1.6240875912408759,Victor Ferdinansk
21,1689,586,1103,2.8822525597269624,Nathan Finkel
22,2421,1475,946,1.64135593220339,Hildegarde Franz
23,948,698,250,1.3581661891117478,Esther Freilich
24,10436,1061,9375,9.836003770028276,Fania Freilich
25,5893,2220,3673,2.6545045045045046,Baruch Friedman
26,9023,1055,7968,8.55260663507109,Leon Frim
27,13793,2346,11447,5.879369138959932,Henja Frydman
28,19839,2586,17253,7.67169373549884,Alexander Gertner
29,3665,1364,2301,2.686950146627566,Bertha Goldwasser
30,2822,1555,1267,1.814790996784566,Jola Gross
31,11517,1587,9930,7.257088846880907,Rachel Gurmanova
32,9246,812,8434,11.386699507389162,Ephraim Gutman
33,5897,1861,4036,3.168726491133799,Ludwig Hamburger
34,5311,1515,3796,3.5056105610561055,Adolph Heisler
35,9629,2229,7400,4.319874383131449,Mendel Herskovitz
37,8531,1899,6632,4.492364402317009,Solomon Horowitz
38,4169,1830,2339,2.278142076502732,Samuel Isakovitch
39,7175,2353,4822,3.0492987675308116,Malka Johles
40,3697,734,2963,5.036784741144414,Joseph [last name unknown]
41,4418,1245,3173,3.54859437751004,Karl Josephy
42,12676,1352,11324,9.375739644970414,George Kaldore
43,8292,923,7369,8.983748645720476,Anna Kaletska
44,1686,1014,672,1.6627218934911243,Janis Kalnietis
45,9367,1263,8104,7.416468725257324,Jurek Kestenberg
46,3445,1223,2222,2.8168438266557647,Ioan Kharchenko
47,35404,2943,32461,12.029901461094122,Abraham Kimmelmann
48,2380,1168,1212,2.037671232876712,Julius Klüver
49,2875,2419,456,1.1885076477883423,Adam Krakowski
50,4649,1732,2917,2.6841801385681294,Esther Krueger
51,10089,1208,8881,8.35182119205298,Lena Kuechler
52,5786,1751,4035,3.3043974871502,David Lea
53,2309,1065,1244,2.168075117370892,Dina Linik
54,1106,484,622,2.2851239669421486,Maximillian Lipschitz
55,5720,1846,3874,3.0985915492957745,Vladus Lukosevicius
56,6492,1952,4540,3.3258196721311477,Hadassah Marcus
57,1293,305,988,4.239344262295082,Malfis Marson
58,8423,1016,7407,8.290354330708661,Jaques Matzner
59,1978,418,1560,4.732057416267943,Raisel Meltzak
60,5573,1447,4126,3.8514167242570836,Valerius Michelson
61,1828,753,1075,2.4276228419654715,Mira Milgram
62,10451,2207,8244,4.735387403715451,Jacob Minski
63,3068,1606,1462,1.9103362391033625,Ernesto Moeller-Arnold
64,2057,1405,652,1.4640569395017793,Marko Moskovitz
65,10214,2148,8066,4.75512104283054,Wolf Nehrich
66,2821,1455,1366,1.938831615120275,Clara Neiman
67,3082,1367,1715,2.254572055596196,Helena Neufeld
68,9789,1287,8502,7.606060606060606,Fela Nichthauser
69,4388,1339,3049,3.277072442120986,Dimitri Odinets
70,9109,971,8138,9.381050463439752,Jacob Oleiski
71,5727,2535,3192,2.259171597633136,Isaac Ostland
72,5096,1190,3906,4.2823529411764705,Anna Paul
73,1928,280,1648,6.885714285714286,Alfonsas Paulis
74,11847,1762,10085,6.72360953461975,Benjamin Piskorz
75,4552,1039,3513,4.381135707410972,Sigmund Reich
76,3562,399,3163,8.927318295739349,André Richard
77,6286,2224,4062,2.8264388489208634,Pinkhus Rosenfeld
78,8700,2869,5831,3.0324154757755317,Irena Rosenwasser
79,1576,795,781,1.9823899371069182,Raisel Roset
80,1902,602,1300,3.159468438538206,[first name unknown] Rudo
81,1444,1246,198,1.158908507223114,Nathan Schacht
82,2421,1987,434,1.2184197282335179,Toba Schiver
83,12657,2164,10493,5.848890942698706,Friedrich Schlaefrig
84,2493,1653,840,1.5081669691470054,Charlotte Schultze
85,9490,1605,7885,5.912772585669782,Jacob Schwarzfitter
86,10289,2036,8253,5.053536345776031,Edith Serras
87,1625,394,1231,4.124365482233503,Leon Shachnovski
88,6043,2204,3839,2.7418330308529946,Gert Silberbart
89,579,486,93,1.191358024691358,Bronė Skudaikienė
90,1303,552,751,2.3605072463768115,Henry Sochami
91,8526,1588,6938,5.369017632241814,Max Sprecher
92,14277,2492,11785,5.729133226324238,Udel Stopnitsky
93,2650,581,2069,4.561101549053356,Lina Stumachin
94,1828,579,1249,3.157167530224525,Andrius Suvalkaitis
95,5700,1492,4208,3.8203753351206435,Roma Tcharnabroda
96,14026,2305,11721,6.085032537960955,Helen Tichauer
97,9038,2458,6580,3.676973148901546,Israel Unikowski
98,9285,2560,6725,3.626953125,Bernard Warsager
99,3241,767,2474,4.225554106910039,Julian Weinberg
100,4036,1339,2697,3.0141896938013444,Jacob Wilf
101,11173,2501,8672,4.467413034786086,Isaac Wolf
102,2237,1571,666,1.4239338001273074,Edith Zierer
103,2036,643,1393,3.1664074650077763,Sophia Zurilis
104,974,449,525,2.1692650334075725,Charles Jean
105,1706,720,986,2.3694444444444445,Jean Kahn
106,1729,422,1307,4.097156398104265,Louis Kahn
107,2038,312,1726,6.532051282051282,Marcelle Kahn
108,2063,168,1895,12.279761904761905,Abraham Schrameck
109,4387,1208,3179,3.631622516556291,Yanusch Deutsch
110,16097,2280,13817,7.060087719298245,Fira Monk
